apc_nosubsp,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,extra_reference,leafarea_mm2
Eucalyptus apiculata,3.5,11,0.3,0.7,NA,241.66666666666663
Eucalyptus apodophylla,7,20,3.6,9,NA,5669.999999999999
Eucalyptus apothalassica,5,13,0.9,2.5,NA,1019.9999999999998
Eucalyptus approximans,5.5,12,0.5,1.6,NA,612.5
Eucalyptus aquilina,7,13.5,1.2,2.5,NA,1264.1666666666665
Eucalyptus arachnaea,6,12,1,2.2,NA,959.9999999999999
Eucalyptus arborella,4,7,0.7,1.5,NA,403.3333333333333
Eucalyptus arcana,8,15,1.7,3,NA,1801.6666666666663
Eucalyptus archeri,4,9,0.9,3,NA,844.9999999999999
Eucalyptus arenacea,7,12,1.5,4,NA,1741.6666666666665
Eucalyptus arenicola,8,13,0.7,1.8,NA,875
Eucalyptus argillacea,5,14,1.2,3.5,NA,1488.3333333333333
Eucalyptus argophloia,6.5,14,0.7,1.5,NA,751.6666666666666
Eucalyptus argutifolia,7.3,12,1.2,3,NA,1351
Eucalyptus aridimontana,7,14,0.7,2,NA,945.0000000000001
Eucalyptus armillata,3,8.5,0.5,1.5,NA,383.33333333333326
Eucalyptus aromaphloia,7.5,20,1,2,NA,1374.9999999999998
Eucalyptus articulata,6,12,1,1.5,NA,749.9999999999999
Eucalyptus aspersa,5.5,12,1,2,NA,874.9999999999999
Eucalyptus aspratilis,5.5,10.5,1,2.2,NA,853.3333333333333
Eucalyptus assimilans,7,18,1.5,4,"Hill, Ken D.; Johnson, Lawrence A.S.; Blaxell, Donald F. (2001). ""Systematic studies in the eucalypts. 11 - New taxa and combinations in Eucalyptus Section Dumaria (Myrtaceae)"". Telopea. 9 (2): 308Ð309. doi:10.7751/telopea20013003",2291.6666666666665
Eucalyptus astringens,5,14,1,2.5,NA,1108.3333333333333
Eucalyptus atrata,8,15,1.4,3.4,NA,1839.9999999999995
Eucalyptus aurifodina,4,8.5,1.4,3,NA,916.6666666666666
Eucalyptus badjensis,8.5,20,1,2,NA,1424.9999999999998
Eucalyptus baeuerlenii,7,17.5,0.6,3,NA,1469.9999999999998
Eucalyptus baileyana,9,16.5,1,2.5,NA,1487.4999999999998
Eucalyptus baiophylla,4.7,9.8,0.4,1,NA,338.33333333333326
Eucalyptus bakeri,4,10.5,0.5,1.5,NA,483.33333333333326
Eucalyptus balladoniensis,7,13.5,1,2.7,NA,1264.1666666666665
Eucalyptus bancroftii,10,26,2,5,NA,4199.999999999999
Eucalyptus banksii,10,19,1.5,3,NA,2174.9999999999995
Eucalyptus barberi,5,14,1,3.5,NA,1424.9999999999998
Eucalyptus baudiniana,4.5,9.5,0.5,1.5,NA,466.66666666666663
Eucalyptus baueriana,5,10.5,2,6,NA,2066.6666666666665
Eucalyptus baxteri,6,15,1.5,5.5,NA,2450
Eucalyptus beaniana,7,13,0.9,2.3,NA,1066.6666666666663
Eucalyptus beardiana,5.5,13,0.7,1.5,NA,678.3333333333334
Eucalyptus behriana,4.5,13,1.3,5,NA,1837.4999999999998
Eucalyptus bensonii,6,12,1.9,3.7,NA,1679.9999999999995
Eucalyptus benthamii,8,23,1.2,2.7,NA,2015
Eucalyptus beyeriana,7,14,0.7,2,NA,945.0000000000001
Eucalyptus bigalerita,9,15,7,15,NA,8800
Eucalyptus blakelyi,6,20,0.7,4.5,NA,2253.333333333333
Eucalyptus blaxellii,6,10,0.5,1,NA,399.99999999999994
Eucalyptus blaxlandii,6,12,1.3,2.7,NA,1199.9999999999998
Eucalyptus boliviana,8,16,3,5,NA,3200
Eucalyptus bosistoana,5.8,20,0.7,2.7,NA,1462.0000000000002
Eucalyptus botryoides,10,22,2,7,NA,4799.999999999999
