apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Corymbia bleeseri,0.8,1.5,0.5,0.8,1.5,2.5,1,1.5,7,7,20,white_cream,Corymbia_bleeseri,Corymbia bleeseri,Corymbia
Corymbia bloxsomei,0.9,NA,0.7,NA,1.2,1.8,0.9,1.3,7,11,20,white_cream,Corymbia_bloxsomei,Corymbia bloxsomei,Blakella
Corymbia brachycarpa,0.6,NA,0.5,NA,1.3,1.8,1,1.5,7,7,15,white_cream,Corymbia_brachycarpa,Corymbia brachycarpa,Corymbia
Corymbia bunites,0.7,NA,0.5,NA,0.8,1.2,0.7,1.1,7,7,25,white_cream,Corymbia_bunites,Corymbia bunites,Blakella
Corymbia cadophora,0.8,1.8,0.6,1.1,2.5,4.2,1.7,3,7,7,6,red white_cream,Corymbia_cadophora,Corymbia cadophora,Corymbia
Corymbia calophylla,0.6,1.4,0.6,1,1.9,4.4,1.8,4,7,7,40,pink white_cream,Corymbia_calophylla,Corymbia calophylla,Corymbia
Corymbia candida,0.4,0.6,0.4,0.5,0.5,1.1,0.6,1.1,3,3,10,white_cream,Corymbia_candida,Corymbia candida,Blakella
Corymbia chartacea,1,1.6,0.8,1.1,2.1,3,2.1,3,3,7,8,pink white_cream,NA,Corymbia chartacea,Corymbia
Corymbia chippendalei,0.7,0.9,0.5,0.7,1.6,2.8,1.5,2.5,7,7,10,white_cream,Corymbia_chippendalei,Corymbia chippendalei,Corymbia
Corymbia citriodora,0.6,1.1,0.5,0.7,0.8,1.5,0.7,1.2,3,3,50,white_cream,Corymbia_citriodora,Corymbia citriodora,Blakella
Corymbia clandestina,0.8,NA,0.5,NA,0.9,1.4,0.7,1,7,7,8,white_cream,NA,Corymbia clandestina,Corymbia
Corymbia clarksoniana,0.7,1.2,0.4,0.8,1.2,2.5,0.9,1.6,7,7,25,white_cream,Corymbia_clarksoniana,Corymbia clarksoniana,Corymbia
Corymbia clavigera,0.7,NA,0.4,NA,0.9,1.4,0.7,0.9,3,7,18,white_cream,NA,Corymbia clavigera,Blakella
Corymbia cliftoniana,0.6,NA,0.4,NA,1.5,2.4,1.5,2.5,7,7,8,white_cream,NA,Corymbia cliftoniana,Corymbia
Corymbia collina,1.3,1.6,1,1.1,2.6,3.7,1.8,2.5,7,7,10,white_cream,Corymbia_collina,Corymbia collina,Corymbia
Corymbia confertiflora,0.4,0.7,0.4,0.5,0.7,1.5,0.6,1.2,7,7,18,white_cream,Corymbia_confertiflora,Corymbia confertiflora,Blakella
Corymbia dallachiana,0.5,0.7,0.4,0.6,0.9,1.3,0.7,1,3,7,15,white_cream,Corymbia_dallachiana,Corymbia dallachiana,Blakella
Corymbia dendromerinx,0.5,0.7,0.4,0.6,0.7,1.2,0.6,0.8,3,7,10,white_cream,Corymbia_dendromerinx,Corymbia dendromerinx,Blakella
Corymbia deserticola,0.5,0.7,0.3,0.5,0.9,1.7,0.9,1.6,7,7,6,white_cream,Corymbia_deserticola,Corymbia deserticola,Corymbia
Corymbia dichromophloia,0.4,0.7,0.3,0.5,0.8,1.3,0.6,1.1,7,7,15,white_cream,Corymbia_dichromophloia,Corymbia dichromophloia,Corymbia
Corymbia disjuncta,0.5,0.8,0.4,0.6,0.9,1.7,0.7,1.4,7,7,15,white_cream,NA,Corymbia disjuncta,Blakella
Corymbia dunlopiana,1.2,2,0.7,1,2,3.5,2.3,3.2,1,3,7,red,Corymbia_dunlopiana,Corymbia dunlopiana,Corymbia
Corymbia ellipsoidea,0.7,0.8,0.4,0.5,1.2,1.9,0.9,1.4,7,7,15,white_cream,Corymbia_ellipsoidea,Corymbia ellipsoidea,Corymbia
Corymbia eremaea,0.6,0.8,0.4,0.5,1.1,2.2,0.9,1.8,7,7,9,white_cream,Corymbia_eremaea,Corymbia eremaea,Corymbia
Corymbia erythrophloia,0.6,1,0.5,0.7,1.1,2.1,1,1.6,7,7,8,white_cream,Corymbia_erythrophloia,Corymbia erythrophloia,Corymbia
Corymbia eximia,1,1.3,0.7,1,1,1.9,1,1.6,7,7,20,white_cream,Corymbia_eximia,Corymbia eximia,Blakella
Corymbia ferriticola,0.4,0.5,0.3,0.4,0.6,1,0.4,0.9,7,7,15,white_cream,Corymbia_ferriticola,Corymbia ferriticola,Blakella
Corymbia ferruginea,0.7,1.4,0.5,0.8,1.8,3.3,1.5,2.9,3,7,12,white_cream,Corymbia_ferruginea,Corymbia ferruginea,Corymbia
Corymbia ficifolia,1.2,1.8,0.6,0.8,2,4.2,1.8,3,7,7,10,red,Corymbia_ficifolia,Corymbia ficifolia,Corymbia
Corymbia flavescens,0.6,0.9,0.5,0.8,0.8,1.2,0.8,1.1,3,3,15,white_cream,Corymbia_flavescens,Corymbia flavescens,Blakella
Corymbia foelscheana,0.9,1.4,0.7,0.9,2.2,3,1.4,2.4,7,7,10,white_cream,Corymbia_foelscheana,Corymbia foelscheana,Corymbia
Corymbia gilbertensis,0.5,0.7,0.4,0.5,0.5,1,0.5,0.8,7,7,12,white_cream,Corymbia_gilbertensis,Corymbia gilbertensis,Blakella
Corymbia grandifolia,0.7,1.5,0.6,0.9,1,2.2,0.8,1.6,3,7,20,white_cream,Corymbia_grandifolia,Corymbia grandifolia,Blakella
Corymbia greeniana,0.6,1,0.5,0.8,1.3,2.8,1.1,2.2,7,7,10,white_cream,Corymbia_greeniana,Corymbia greeniana,Corymbia
Corymbia gummifera,0.8,1.2,0.4,0.6,1.2,2.2,0.9,1.8,7,7,35,white_cream,Corymbia_gummifera,Corymbia gummifera,Corymbia
Corymbia haematoxylon,0.6,1.1,0.4,0.7,1.5,3.6,1.2,2.7,7,7,15,white_cream,Corymbia_haematoxylon,Corymbia haematoxylon,Corymbia
