apc_nosubsp,tree_names,range_names,subgenus,budsize_mm2,logbudsize_mm2,colours_all,colour_binary,colour_fullbinary,frtsize_mm2,medianlong,meanMAT,meanMAP,meanAVP,meanbirdrich,meanbatpres,meanbatpres_bin
Eucalyptus scoparia,Eucalyptus_scoparia,Eucalyptus scoparia,Symphyomyrtus,15.749999999999998,2.756840365271642,white_cream,0,0,20,151.92014999999998,14.166666666666693,880.4416666666667,33.30555550257365,40,1,1
Eucalyptus scopulorum,Eucalyptus_scopulorum,Eucalyptus scopulorum,Symphyomyrtus,32,3.4657359027997265,white_cream,0,0,45,152.2039436,13.650000000000034,1103.8,46,39,1,1
Eucalyptus scyphocalyx,Eucalyptus_scyphocalyx,Eucalyptus scyphocalyx,Symphyomyrtus,70,4.248495242049359,white_cream,0,0,90,120.5333,15.9792307692308,395.91846153846154,7.121693088894799,20.40625,0,0
Eucalyptus seeana,Eucalyptus_seeana,Eucalyptus seeana,Symphyomyrtus,52,3.9512437185814275,white_cream,0,0,22.75,152.98,18.92457627118647,1199.377966101695,24.628930883587532,38.04,1,1
Eucalyptus semiglobosa,NA,Eucalyptus semiglobosa,Symphyomyrtus,66.5,4.197201947661808,white_cream,0,0,108,122.25,16.256250000000044,571.525,8.461538461538462,20.076923076923077,0,0
Eucalyptus semota,Eucalyptus_semota,Eucalyptus semota,Symphyomyrtus,20,2.995732273553991,white_cream,0,0,20.25,119.6,23.21250000000003,281.0625,7.416666746139526,16.625,0,0
Eucalyptus sepulcralis,Eucalyptus_sepulcralis,Eucalyptus sepulcralis,Eucalyptus,101.5,4.620058798481842,white_cream,0,0,NA,119.8833333,16.116666666666706,461.0750000000001,9.305555442969004,20.333333333333332,0,0
Eucalyptus serraensis,Eucalyptus_serraensis,Eucalyptus serraensis,Eucalyptus,78.75,4.366278277705742,white_cream,0,0,172.5,142.4667,11.78076923076926,724.6538461538462,27.46153890169584,33.30769230769231,1,1
Eucalyptus sessilis,Eucalyptus_sessilis,Eucalyptus sessilis,Symphyomyrtus,279.5,5.633002292595154,yellow,1,1,170.99999999999997,132.5889719,21.952500000000033,316.53125,16.433333373069765,17.7625,0,0
Eucalyptus sheathiana,NA,Eucalyptus sheathiana,Symphyomyrtus,49.50000000000001,3.901972669574645,white_cream,0,0,48.75,118.7036731,17.63765432098769,332.954938271605,4.385093175106167,21.11111111111111,0,0
Eucalyptus shirleyi,NA,Eucalyptus shirleyi,Symphyomyrtus,45,3.8066624897703196,white_cream,0,0,60,145.4333,22.472818791946345,901.0825503355704,13.9977323895409,29.864864864864863,1,1
Eucalyptus sicilifolia,Eucalyptus_sicilifolia,Eucalyptus sicilifolia,Symphyomyrtus,19.25,2.9575110607337933,white_cream,0,0,27.5,148.0428,21.483333333333366,692.9333333333334,31.333333333333332,29,1,1
Eucalyptus siderophloia,Eucalyptus_siderophloia,Eucalyptus siderophloia,Symphyomyrtus,26.25,3.2676659890376327,white_cream,0,0,30.250000000000004,152.7167,18.548067632850277,1175.5661835748792,23.53936345852799,36.93969849246231,1,1
Eucalyptus sideroxylon,Eucalyptus_sideroxylon,Eucalyptus sideroxylon,Symphyomyrtus,52.5,3.960813169597578,red white_cream,0.5,1,60,148.68331665,16.35580357142861,639.2794642857143,17.079222647063936,34.56502242152467,1,1
Eucalyptus sieberi,Eucalyptus_sieberi,Eucalyptus sieberi,Eucalyptus,14,2.6390573296152584,white_cream,0,0,63.75,149.92,13.447647058823565,916.6674509803922,18.582278493084484,31.95397489539749,0.9045643153526972,1
Eucalyptus similis,Eucalyptus_similis,Eucalyptus similis,Eudesmia,45,3.8066624897703196,white_cream,0,0,109.25,145.14180555000002,23.186111111111146,703.1319444444445,8.912037051386303,24.166666666666668,1,1
Eucalyptus singularis,Eucalyptus_singularis,Eucalyptus singularis,Symphyomyrtus,110.00000000000001,4.700480365792417,white_cream,0,0,137.5,119.5132471,15.493750000000034,378.55,4.999999985098839,21.875,0,0
Eucalyptus sinuosa,NA,Eucalyptus sinuosa,Symphyomyrtus,NA,NA,green,1,1,NA,119.45,15.68000000000004,431.83,6.066666746139527,19.5,0,0
Eucalyptus smithii,Eucalyptus_smithii,Eucalyptus smithii,Symphyomyrtus,17.5,2.8622008809294686,white_cream,0,0,27.000000000000004,149.8,12.804666666666696,900.4373333333334,21.564444427490233,32.18666666666667,1,1
Eucalyptus socialis,Eucalyptus_socialis,Eucalyptus socialis,Symphyomyrtus,77,4.343805421853684,white_cream,0,0,56,137.15,18.59408602150541,312.2971102150538,15.991383209682644,22.866711772665763,0.1554054054054054,0
Eucalyptus sp. Kalbarri (M.I.H.Brooker 7937),NA,NA,NA,42,3.7376696182833684,white_cream,0,0,42.25,NA,NA,NA,NA,NA,NA,NA
Eucalyptus sp. Mulga Rock (K.D.Hill & L.A.S.Johnson KH 2668),Eucalyptus_minigwalica,NA,Symphyomyrtus,24,3.1780538303479458,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
Eucalyptus sp. Southern wheatbelt (D.Nicolle & M.French DN 5507),NA,Eucalyptus sp. Southern wheatbelt (D.Nicolle & M.French DN 5507),Dumaria,55.00000000000001,4.007333185232471,white_cream,0,0,68,120.4583,15.964285714285754,387.3214285714286,5.99999999148505,20.607142857142858,0,0
Eucalyptus sparsa,Eucalyptus_sparsa,Eucalyptus sparsa,Symphyomyrtus,17.5,2.8622008809294686,white_cream,0,0,33,130.265,20.570000000000032,315.3784615384616,17.153846256549542,16.46153846153846,0,0
Eucalyptus sparsifolia,Eucalyptus_sparsifolia,Eucalyptus sparsifolia,Eucalyptus,10,2.302585092994046,white_cream,0,0,24,150.6043,15.494444444444476,880.5444444444445,19.20754721479596,38.6822429906542,1,1
Eucalyptus spathulata,Eucalyptus_spathulata,Eucalyptus spathulata,Symphyomyrtus,38.5,3.6506582412937387,white_cream,0,0,36,118.2,16.09285714285718,374.9387755102041,6.944444447755814,21.081632653061224,0,0
Eucalyptus sphaerocarpa,Eucalyptus_sphaerocarpa,Eucalyptus sphaerocarpa,Eucalyptus,36,3.58351893845611,white_cream,0,0,120.74999999999999,149.115,19.933333333333355,777.5333333333334,35.50000031789144,31.833333333333332,1,1
Eucalyptus splendens,Eucalyptus_splendens,Eucalyptus splendens,Symphyomyrtus,12.5,2.5257286443082556,white_cream,0,0,35.75,141.3917,13.525000000000034,888.825,16.416666746139526,26.25,1,1
Eucalyptus sporadica,NA,Eucalyptus sporadica,Symphyomyrtus,102.5,4.629862798578463,white_cream,0,0,89.25,119.1833333,15.909477124183043,396.5869281045752,6.818984555882334,20.933774834437084,0,0
Eucalyptus spreta,Eucalyptus_spreta,Eucalyptus spreta,Symphyomyrtus,40.5,3.7013019741124933,white_cream,0,0,30.250000000000004,122.018978,16.948507462686603,345.84626865671646,9.092307670299824,18.074626865671643,0,0
Eucalyptus squamosa,Eucalyptus_squamosa,Eucalyptus squamosa,Symphyomyrtus,34,3.5263605246161616,white_cream,0,0,38.5,151.0079,16.618421052631614,993.0263157894738,16.323232275066953,38.810810810810814,1,1
Eucalyptus staeri,Eucalyptus_staeri,Eucalyptus staeri,Eucalyptus,99,4.59511985013459,white_cream,0,0,351.5,117.91050435,15.013333333333362,733.3583333333333,14.488095206873757,16.98181818181818,0,0
Eucalyptus staigeriana,NA,Eucalyptus staigeriana,Symphyomyrtus,22.749999999999993,3.124565145396959,white_cream,0,0,30.250000000000004,144.38126219999998,24.30000000000004,1000.3888888888888,14.592592530780369,30.11111111111111,1,1
Eucalyptus steedmanii,Eucalyptus_steedmanii,Eucalyptus steedmanii,Symphyomyrtus,299,5.700443573390687,white_cream,0,0,297.5,119.7,16.58333333333337,375.5,4.277777791023254,21,0,0
Eucalyptus stellulata,Eucalyptus_stellulata,Eucalyptus stellulata,Eucalyptus,10,2.302585092994046,white_cream,0,0,16,149.15,11.078991596638687,866.9579831932773,22.263532699682777,33.74683544303797,1,1
Eucalyptus stenostoma,Eucalyptus_stenostoma,Eucalyptus stenostoma,Eucalyptus,19.25,2.9575110607337933,white_cream,0,0,85.49999999999999,149.65,12.68684210526319,852.7578947368421,27.052631629140752,31.36842105263158,1,1
Eucalyptus stoatei,Eucalyptus_stoatei,Eucalyptus stoatei,Symphyomyrtus,798,6.682108597449809,yellow,1,1,744,120.6,16.1136363636364,462.35,5.841269833700998,20.904761904761905,0,0
Eucalyptus stowardii,Eucalyptus_stowardii,Eucalyptus stowardii,Symphyomyrtus,244,5.497168225293202,white_cream,0,0,180,117.09835,18.72727272727276,338.7886363636364,4.80303031206131,21.863636363636363,0,0
Eucalyptus striaticalyx,NA,Eucalyptus striaticalyx,Symphyomyrtus,57.75000000000001,4.056123349401903,white_cream,0,0,56,118.4333,21.84740259740264,252.44155844155844,8.262222207387289,17.376623376623378,0,0
Eucalyptus stricklandii,Eucalyptus_stricklandii,Eucalyptus stricklandii,Symphyomyrtus,225,5.41610040220442,yellow,1,1,175,121.55,17.99210526315793,307.2684210526316,7.201754419427169,20.05263157894737,0,0
Eucalyptus stricta,Eucalyptus_stricta,Eucalyptus stricta,Eucalyptus,33.75,3.518980417318539,white_cream,0,0,68,150.2667,13.64813084112153,1019.0186915887851,19.058252399407543,36.049019607843135,1,1
Eucalyptus strzeleckii,Eucalyptus_strzeleckii,Eucalyptus strzeleckii,Symphyomyrtus,21,3.044522437723423,white_cream,0,0,24,146.15,13.524193548387132,953.651612903226,17.6129031027517,27.903225806451612,1,1
Eucalyptus sturgissiana,Eucalyptus_sturgissiana,Eucalyptus sturgissiana,Symphyomyrtus,29.249999999999993,3.375879573677865,white_cream,0,0,27,150.34618395,14.21250000000003,1061.34375,17.41666668653488,33.8125,1,1
Eucalyptus subangusta,Eucalyptus_subangusta,Eucalyptus subangusta,Symphyomyrtus,22.500000000000004,3.1135153092103747,white_cream,0,0,22.499999999999996,117.3,18.613555555555592,337.3835555555556,4.568452386983803,21.635555555555555,0,0
