range_names,Longitude,Latitude
Angophora floribunda,149.6833,-26.3667
Angophora floribunda,149.7,-30.38333333
Angophora floribunda,149.7167,-25.1667
Angophora floribunda,149.7333,-25.1
Angophora floribunda,149.75,-37.57
Angophora floribunda,149.75,-37.5
Angophora floribunda,149.75,-36.1333
Angophora floribunda,149.75,-32.2833
Angophora floribunda,149.75,-32.2167
Angophora floribunda,149.7508259,-25.24855815
Angophora floribunda,149.7508315,-26.24855661
Angophora floribunda,149.7881,-35.6078
Angophora floribunda,149.8,-36.9333
Angophora floribunda,149.8,-32.15
Angophora floribunda,149.82,-32.4
Angophora floribunda,149.83,-31.78
Angophora floribunda,149.8333333,-31.3
Angophora floribunda,149.85,-36.68
Angophora floribunda,149.8667,-35.6833
Angophora floribunda,149.9,-35.9333
Angophora floribunda,149.9081,-36.6614
Angophora floribunda,149.9167,-36.3667
Angophora floribunda,149.95,-36.13333333
Angophora floribunda,149.95,-32.3667
Angophora floribunda,149.9525,-37.4111
Angophora floribunda,149.9627778,-37.2458333
Angophora floribunda,149.9666667,-36.73333333
Angophora floribunda,149.9667,-36.4
Angophora floribunda,149.9667,-26.1667
Angophora floribunda,149.9667,-26.1167
Angophora floribunda,149.97,-37.48
Angophora floribunda,149.97,-36.25
Angophora floribunda,149.97,-35.55
Angophora floribunda,149.9727778,-32.6036111
Angophora floribunda,150,-37.16666667
Angophora floribunda,150,-31.45
Angophora floribunda,150.0166667,-37.21666667
Angophora floribunda,150.0167,-36.3
Angophora floribunda,150.0275,-36.6158333
Angophora floribunda,150.0333,-35.5333
Angophora floribunda,150.0396389,-32.65097222
Angophora floribunda,150.05,-35.45
Angophora floribunda,150.05,-32.25
Angophora floribunda,150.060776,-36.116125
Angophora floribunda,150.0661,-36.3917
Angophora floribunda,150.079494,-36.040983
Angophora floribunda,150.0833,-35.2833
Angophora floribunda,150.0833,-31.6167
Angophora floribunda,150.0841529,-24.91522398
Angophora floribunda,150.0841602,-26.24855504
Angophora floribunda,150.0841693,-27.74855344
Angophora floribunda,150.1,-36.1667
Angophora floribunda,150.1167,-32.3833
Angophora floribunda,150.1333,-32.2333
Angophora floribunda,150.1333,-30.2833
Angophora floribunda,150.15,-35.7667
Angophora floribunda,150.15,-24.8833
Angophora floribunda,150.17,-35.6
Angophora floribunda,150.17,-33.87
Angophora floribunda,150.1833333,-26.68333333
Angophora floribunda,150.2,-33.7
Angophora floribunda,150.2055556,-32.8583333
Angophora floribunda,150.22,-32.4
Angophora floribunda,150.25,-32.83
Angophora floribunda,150.2666667,-29.4
Angophora floribunda,150.2667,-33.1167
Angophora floribunda,150.27,-34.68
Angophora floribunda,150.2833,-27.6167
Angophora floribunda,150.3,-32.33
Angophora floribunda,150.3,-30.05
Angophora floribunda,150.3167,-32.8833
Angophora floribunda,150.3167,-32.8167
Angophora floribunda,150.32,-31.67
Angophora floribunda,150.3333333,-33.63333333
Angophora floribunda,150.3333333,-30.31666667
Angophora floribunda,150.3381,-31.2689
Angophora floribunda,150.35,-31.8667
Angophora floribunda,150.35,-31.8
Angophora floribunda,150.4,-33.03
Angophora floribunda,150.4138246,-34.62418647
Angophora floribunda,150.4333333,-35.2
Angophora floribunda,150.45,-35.03
Angophora floribunda,150.45,-29.9333
Angophora floribunda,150.5,-34.6833
Angophora floribunda,150.5,-31.95
Angophora floribunda,150.5,-29.9167
Angophora floribunda,150.5333,-32
Angophora floribunda,150.55,-29.66666667
Angophora floribunda,150.5675786,-29.86529505
Angophora floribunda,150.5833333,-34.95
Angophora floribunda,150.5924815,-25.34022092
Angophora floribunda,150.5955556,-30.08686111
Angophora floribunda,150.6,-34.8833
Angophora floribunda,150.605,-35.0042
Angophora floribunda,150.6167,-33.9167
Angophora floribunda,150.6232996,-34.7735942
Angophora floribunda,150.6333,-32.95
Angophora floribunda,150.65,-34.62
Angophora floribunda,150.65,-33.75
Angophora floribunda,150.65,-33.3667
Angophora floribunda,150.6666667,-31.5
Angophora floribunda,150.6833333,-33.1
Angophora floribunda,150.6933,-32.9553
Angophora floribunda,150.7,-29.78333333
Angophora floribunda,150.7166667,-33.45
Angophora floribunda,150.7166667,-29.53333333
Angophora floribunda,150.7167,-35.1333
Angophora floribunda,150.7180556,-32.51944444
Angophora floribunda,150.7333333,-32.9
Angophora floribunda,150.7333333,-29.95
Angophora floribunda,150.75,-34.85
Angophora floribunda,150.7508235,-27.2485506
Angophora floribunda,150.750832,-28.58188285
Angophora floribunda,150.7591667,-34.0572222
Angophora floribunda,150.7666667,-34.78333333
Angophora floribunda,150.7833333,-29.01666667
Angophora floribunda,150.82,-31.25
Angophora floribunda,150.8223003,-28.25769103
Angophora floribunda,150.8424794,-25.60688597
Angophora floribunda,150.85,-28.57
Angophora floribunda,150.8666667,-26.95
Angophora floribunda,150.88,-32.85
Angophora floribunda,150.8868739,-34.50527946
Angophora floribunda,150.8966667,-31.59388889
Angophora floribunda,150.9126389,-30.3365
Angophora floribunda,150.9166667,-31.26666667
Angophora floribunda,150.9174963,-28.58188198
Angophora floribunda,150.92,-33.83
Angophora floribunda,150.93,-28.5
Angophora floribunda,150.9465889,-33.74086944
Angophora floribunda,150.95,-31.08333333
Angophora floribunda,150.9666667,-29.15277778
Angophora floribunda,150.9667,-33.3
Angophora floribunda,150.9678,-32.7025
Angophora floribunda,150.975816,-26.52355048
Angophora floribunda,150.9833333,-33.38333333
Angophora floribunda,150.9833333,-29.5
Angophora floribunda,150.992471,-24.37355468
Angophora floribunda,151,-32.03
Angophora floribunda,151,-31.77
Angophora floribunda,151.0028,-33.8681
Angophora floribunda,151.02,-33.75
Angophora floribunda,151.03,-29.38
Angophora floribunda,151.07,-33.7
Angophora floribunda,151.08,-31.63
Angophora floribunda,151.0833333,-33.55
Angophora floribunda,151.0833333,-30.98333333
Angophora floribunda,151.0841358,-24.24855462
Angophora floribunda,151.0841594,-28.41521457
Angophora floribunda,151.100344,-33.8411311
Angophora floribunda,151.13,-31.48
Angophora floribunda,151.1306,-32.5217
Angophora floribunda,151.1333,-33
Angophora floribunda,151.1333,-32.7333
Angophora floribunda,151.1333,-31.9167
Angophora floribunda,151.1333333,-30.25
Angophora floribunda,151.15,-33.75
Angophora floribunda,151.15,-32.6667
Angophora floribunda,151.1666667,-29.83333333
Angophora floribunda,151.1667,-32.5667
Angophora floribunda,151.1811,-30.5378
Angophora floribunda,151.1833333,-33.48333333
Angophora floribunda,151.1833333,-30.78333333
Angophora floribunda,151.1942,-31.9403
Angophora floribunda,151.2,-33.65
Angophora floribunda,151.2008915,-28.24056895
Angophora floribunda,151.2190042,-27.93680353
Angophora floribunda,151.2333,-32.75
Angophora floribunda,151.25,-30.01666667
Angophora floribunda,151.2575,-31.9283
Angophora floribunda,151.2833778,-29.78205833
Angophora floribunda,151.3,-33.53333333
Angophora floribunda,151.3,-24.7
Angophora floribunda,151.3166667,-33.63333333
Angophora floribunda,151.3166667,-29.91666667
Angophora floribunda,151.3203,-29.5086
Angophora floribunda,151.3424736,-25.82355
Angophora floribunda,151.3509414,-28.69924742
Angophora floribunda,151.3667,-30.7
Angophora floribunda,151.375827,-29.17354598
Angophora floribunda,151.4,-30.48333333
Angophora floribunda,151.4166667,-29.76666667
Angophora floribunda,151.4278704,-33.05362623
Angophora floribunda,151.4333333,-29.48333333
Angophora floribunda,151.4786,-32.965
Angophora floribunda,151.4933333,-33.239444399999996
Angophora floribunda,151.4939,-33.1883
Angophora floribunda,151.5,-30.0833
Angophora floribunda,151.5333333,-29.75
Angophora floribunda,151.5424661,-24.94021768
Angophora floribunda,151.55,-33.25
Angophora floribunda,151.5592,-29.2889
Angophora floribunda,151.5666667,-30.4
Angophora floribunda,151.5833333,-29.71666667
Angophora floribunda,151.584143,-26.91521371
Angophora floribunda,151.6,-26.73
Angophora floribunda,151.6333,-29.0333
Angophora floribunda,151.6473253,-30.43541332
Angophora floribunda,151.65,-30.5
Angophora floribunda,151.65,-30.28333333
Angophora floribunda,151.6561111,-33.0383333
Angophora floribunda,151.6833333,-30.4
Angophora floribunda,151.7167,-29.05
Angophora floribunda,151.7333,-29.15
Angophora floribunda,151.7507964,-24.91521686
Angophora floribunda,151.7508175,-28.58187771
Angophora floribunda,151.7591439,-27.4902121
Angophora floribunda,151.78,-28.22
Angophora floribunda,151.7833,-29.05
Angophora floribunda,151.7875,-27.9458
Angophora floribunda,151.8,-30.53333333
Angophora floribunda,151.8167,-24.9167
Angophora floribunda,151.85,-27.26666667
Angophora floribunda,151.87,-28.85
Angophora floribunda,151.8761,-31.74
Angophora floribunda,151.9091473,-28.3902104
Angophora floribunda,151.9375,-27.6397
Angophora floribunda,151.9464,-27.8258
Angophora floribunda,151.9583333,-31.33333333
Angophora floribunda,151.9833333,-28.01666667
Angophora floribunda,152,-29.18333333
Angophora floribunda,152.0666667,-27.36666667
Angophora floribunda,152.1392,-29.0125
Angophora floribunda,152.1796926,-27.36771025
Angophora floribunda,152.3630967,-28.06111852
Angophora floribunda,152.57,-28.45
Angophora floribunda,152.7833,-31.5167
Angophora floribunda,152.8183333,-29.8083333
Angophora floribunda,152.8333,-31.6667
Angophora floribunda,152.8666667,-29.5
Angophora floribunda,152.8666667,-30.5333333
Angophora floribunda,152.87,-31.5
Angophora floribunda,152.92,-27.58
Angophora floribunda,153.12,-26.38
Angophora hispida,150.1009508,-33.70696926
Angophora hispida,150.2,-33.62
Angophora hispida,150.4833,-33.3833
Angophora hispida,150.68,-33.25
Angophora hispida,150.7166667,-33.45
Angophora hispida,150.75,-33.3
Angophora hispida,150.7666667,-33.51666667
Angophora hispida,150.8,-33.41666667
Angophora hispida,150.82,-33.32
Angophora hispida,150.8231658,-34.01391011
Angophora hispida,150.8486243,-34.39757441
Angophora hispida,150.85,-34.07
Angophora hispida,150.9516667,-33.635
Angophora hispida,150.9606,-34.0456
Angophora hispida,150.9833,-33.4167
Angophora hispida,150.9983405,-33.98510178
Angophora hispida,151,-34.13333333
Angophora hispida,151.0166667,-34.05
Angophora hispida,151.0167,-33.0667
Angophora hispida,151.03,-33.67
Angophora hispida,151.0303528,-34.19210276
Angophora hispida,151.0667,-33.55
Angophora hispida,151.08,-33.17
Angophora hispida,151.085513,-34.08338883
Angophora hispida,151.1,-34.0167
Angophora hispida,151.1,-33.7
Angophora hispida,151.1117,-34.1411
Angophora hispida,151.1333,-33.8
Angophora hispida,151.15,-34.0833
Angophora hispida,151.15,-33.75
Angophora hispida,151.15,-33.6333
Angophora hispida,151.15,-33.3833333
Angophora hispida,151.1667,-33.5833
Angophora hispida,151.1970467,-33.70779596
Angophora hispida,151.2125,-33.6342
Angophora hispida,151.2166667,-33.88333333
Angophora hispida,151.2166667,-33.55
Angophora hispida,151.2167,-33.8
Angophora hispida,151.2167,-33.4
Angophora hispida,151.23,-33.75
Angophora hispida,151.2569444,-33.3133333
Angophora hispida,151.2666667,-33.66666667
Angophora hispida,151.2666667,-33.5
Angophora hispida,151.2915667,-33.37537778
Angophora hispida,151.3,-33.8167
Angophora hispida,151.3,-33.55
Angophora hispida,151.3166667,-33.41666667
Angophora hispida,151.33,-33.62
Angophora inopina,151.2644444,-32.5755556
Angophora inopina,151.4333333,-33.26666667
Angophora inopina,151.45,-33.07
Angophora inopina,151.4777778,-33.1125
Angophora inopina,151.4786,-32.965
Angophora inopina,151.49869,-33.24317
Angophora inopina,151.5028,-33.0417
Angophora inopina,151.505,-33.195
Angophora inopina,151.5369444,-33.1105556
Angophora inopina,151.55,-33.02
Angophora inopina,151.57,-33.07
Angophora inopina,151.57833,-33.1485
Angophora inopina,151.6033333,-32.9819444
Angophora inopina,151.6153,-32.9375
Angophora inopina,151.85,-32.63
Angophora inopina,151.9330556,-32.6897222
Angophora inopina,151.9961,-32.6297
Angophora inopina,152.016842,-32.561611
Angophora inopina,152.073947,-32.670072
Angophora inopina,152.1894444,-32.3844444
Angophora inopina,152.23,-32.42
Angophora leiocarpa,146.0833,-24.3333
Angophora leiocarpa,146.32,-24.25
Angophora leiocarpa,146.3833,-24.55
Angophora leiocarpa,146.4167,-24.3167
Angophora leiocarpa,146.4175316,-24.4152411
Angophora leiocarpa,146.62,-24.1
Angophora leiocarpa,146.83,-24.33
Angophora leiocarpa,146.9258611,-24.87357154
Angophora leiocarpa,147.18,-24.83
Angophora leiocarpa,147.7506,-25.7194
Angophora leiocarpa,147.8,-24.92
Angophora leiocarpa,147.9966811,-24.96217763
Angophora leiocarpa,148.0091806,-24.90689987
Angophora leiocarpa,148.0167,-25.7
Angophora leiocarpa,148.12,-25.05
Angophora leiocarpa,148.28,-25.47
Angophora leiocarpa,148.5425145,-26.24022905
Angophora leiocarpa,148.9167,-30.4
Angophora leiocarpa,149,-23.83333333
Angophora leiocarpa,149,-23.0833
Angophora leiocarpa,149.0583,-23.7917
Angophora leiocarpa,149.0841605,-23.74856406
Angophora leiocarpa,149.0841613,-23.91523035
Angophora leiocarpa,149.13,-23.8
Angophora leiocarpa,149.1864,-25.3056
Angophora leiocarpa,149.23,-23.87
Angophora leiocarpa,149.2333333,-28
Angophora leiocarpa,149.3333,-28
Angophora leiocarpa,149.37,-29.2
Angophora leiocarpa,149.5,-30.75
Angophora leiocarpa,149.5,-27.9667
Angophora leiocarpa,149.55,-27.9333
Angophora leiocarpa,149.55,-24.92
Angophora leiocarpa,149.5833333,-30.88333333
Angophora leiocarpa,149.6,-30.8
Angophora leiocarpa,149.6,-24.95
Angophora leiocarpa,149.6666667,-30.81666667
Angophora leiocarpa,149.7,-30.88
Angophora leiocarpa,149.78,-30.33
Angophora leiocarpa,149.8333333,-30.41666667
Angophora leiocarpa,149.85,-30.35
Angophora leiocarpa,149.85,-30.23333333
Angophora leiocarpa,149.9175061,-27.91522085
Angophora leiocarpa,149.92,-28.87
Angophora leiocarpa,149.93,-30.15
Angophora leiocarpa,149.95,-30.05
Angophora leiocarpa,150.0166667,-26.4333333
Angophora leiocarpa,150.0841693,-27.74855344
Angophora leiocarpa,150.1166667,-29.91666667
Angophora leiocarpa,150.1333,-26.9333
Angophora leiocarpa,150.1333,-26.55
Angophora leiocarpa,150.15,-29.77
Angophora leiocarpa,150.1833333,-26.68333333
Angophora leiocarpa,150.22,-29.73
Angophora leiocarpa,150.2405556,-26.98972222
Angophora leiocarpa,150.2894298,-25.28688902
Angophora leiocarpa,150.3333333,-26.66666667
Angophora leiocarpa,150.5,-29.5
Angophora leiocarpa,150.5,-29.02
Angophora leiocarpa,150.5,-26.4167
Angophora leiocarpa,150.5088263,-28.27050437
Angophora leiocarpa,150.55,-29.63
Angophora leiocarpa,150.5666667,-29.53333333
Angophora leiocarpa,150.5922893,-28.36473883
Angophora leiocarpa,150.6166667,-29.56666667
Angophora leiocarpa,150.6611765,-28.25612738
Angophora leiocarpa,150.7166667,-29.61666667
Angophora leiocarpa,150.7166667,-29.53333333
Angophora leiocarpa,150.7167,-26.2667
Angophora leiocarpa,150.75,-29.25
Angophora leiocarpa,150.75,-28.86666667
Angophora leiocarpa,150.7579697,-28.17564969
Angophora leiocarpa,150.7833333,-29
Angophora leiocarpa,150.85,-28.91666667
Angophora leiocarpa,150.85,-26.4
Angophora leiocarpa,150.8666667,-29.23333333
Angophora leiocarpa,150.9,-29.31666667
Angophora leiocarpa,150.9333333,-29.43333333
Angophora leiocarpa,150.9666667,-29.3
Angophora leiocarpa,151,-27.3333
Angophora leiocarpa,151.0333,-29.3833
Angophora leiocarpa,151.0333,-28.8833
Angophora leiocarpa,151.0591389,-24.8068867
Angophora leiocarpa,151.0825821,-26.52192646
Angophora leiocarpa,151.0841521,-27.24854898
Angophora leiocarpa,151.1167,-25.3667
Angophora leiocarpa,151.1186703,-28.23723605
Angophora leiocarpa,151.1341593,-28.50799202
Angophora leiocarpa,151.1774304,-25.90090438
Angophora leiocarpa,151.1831,-26.1597
Angophora leiocarpa,151.2333333,-25
Angophora leiocarpa,151.2852573,-26.73965982
Angophora leiocarpa,151.3822,-25.9722
Angophora leiocarpa,151.55,-24.37
Angophora leiocarpa,151.5556,-28.1525
Angophora leiocarpa,151.5833,-28.0167
Angophora leiocarpa,151.584149,-27.91521247
Angophora leiocarpa,151.6055185,-26.16385877
Angophora leiocarpa,151.62,-27.98
Angophora leiocarpa,151.7,-29.0667
Angophora leiocarpa,151.7119058,-24.4707737
Angophora leiocarpa,151.75,-25.0333
Angophora leiocarpa,151.7508007,-25.74854834
Angophora leiocarpa,151.7758131,-27.9402115
Angophora leiocarpa,151.8673583,-26.73053889
Angophora leiocarpa,151.9166667,-28.35
Angophora leiocarpa,151.92,-26.78
Angophora leiocarpa,151.95,-28.61666667
Angophora leiocarpa,151.9591414,-27.55687772
Angophora leiocarpa,151.9592038,-26.52195554
Angophora leiocarpa,151.9666667,-26.23333333
Angophora leiocarpa,152,-24.98333333
Angophora leiocarpa,152.0533306,-26.57962447
Angophora leiocarpa,152.13,-28.45
Angophora leiocarpa,152.13,-25.22
Angophora leiocarpa,152.2,-28.46666667
Angophora leiocarpa,152.2091293,-26.09021229
Angophora leiocarpa,152.28,-28.48
Angophora leiocarpa,152.3,-24.8333
Angophora leiocarpa,152.3166667,-27.51666667
Angophora leiocarpa,152.3167,-28.3667
Angophora leiocarpa,152.3833333,-28.58333333
